Award,Name,Actions
$200 per fall & spring semesters,"A.B. and M.E. Otokiti PSA Management, Inc. Endowed Scholarship  The A.B. and M.E. Otokiti PSA Management, Inc. Endowed Scholarship was...",Deadline04/30/2026
$625 Fall Only,AAMAAL Information Technology Scholarship  The AAMAAL Information Technology Scholarship was established in 2021 by...,Deadline04/30/2026
$750 per fall & spring semesters,"Alex Puente Memorial Scholarship  The Alex Puente Memorial Scholarship honors the memory of Alex Puente,...",Deadline04/30/2026
$250 per fall & spring semesters,Allan G. Calkin Memorial Endowed Scholarship  The Allan G. Calkin Memorial Endowed Scholarship was established in 1990...,Deadline04/30/2026
$200 per fall & spring semesters,Angels of Richland Theatre Scholarship  The Angels of Richland Theatre Scholarship was established in 1999 to...,Deadline04/30/2026
$500 per fall & spring semesters,Ann Priest Writing Endowed Scholarship  The Ann Priest Endowed Scholarship was started in 1999 by former...,Deadline04/30/2026
$250 per fall & spring semesters,Becker/Stout Memorial Real Estate Endowed Scholarship  The Becker/Stout Memorial Real Estate Endowed Scholarship was...,Deadline04/30/2026
$250 per fall & spring semesters,Ben Barnes Memorial Scholarship  The Ben Barnes Memorial Scholarship was established in 2008 by...,Deadline04/30/2026
$500 per fall & spring semesters,Bill and Mary Mitchell Endowed Scholarship  The Bill and Mary Mitchell Scholarship was established in 1999 by Bill...,Deadline04/30/2026
$250 per fall & spring semesters,Bill Hines Memorial Endowed Scholarship  The Bill Hines Memorial Endowed Scholarship was established in 1989 by...,Deadline04/30/2026
"$1,000 per fall & spring semesters",Bill J. Priest Endowed Scholarship  The Bill J. Priest Endowed Scholarship pays tribute to founding Dallas...,Deadline04/30/2026
$250 per fall & spring semesters,Blanquieta Hogue Downs Memorial Endowed Scholarship  The Blanquieta Hogue Downs Memorial Endowed Scholarship was set up to...,Deadline04/30/2026
$300 Fall only,Blatta Family Triumvirate Scholarship  The Blatta Family Triumvirate Scholarship was established in 2008 by the...,Deadline04/30/2026
"$1,000 per fall & spring semesters",Bridgestone Firestone Automotive Technology Scholarship  The Bridgestone Firestone Automotive Technology Scholarship was...,Deadline04/30/2026
$350 per fall & spring semesters,Brookhaven Art Student Program Endowed Scholarship,Deadline04/30/2026
$350 per fall & spring semesters for two consecutive year,Brookhaven Chemistry and Physics Endowed Scholarship  The Brookhaven Chemistry and Physics Endowed Scholarship was established...,Deadline04/30/2026
$500 per fall & spring semesters,Brookhaven Geo-Technology Institute STEM Scholarship  The Brookhaven Campus Geo-Technology Institute STEM Scholarship was...,Deadline04/30/2026
$500 per fall & spring semesters,Brookhaven Head Start Parent's Resource Scholarship  The Brookhaven Campus Head Start Parent’s Resource Scholarship was...,Deadline04/30/2026
$150 per fall & spring semesters,Brookhaven Memorial Scholarship  The Brookhaven Campus Memorial Scholarship was established in 2018 for...,Deadline04/30/2026
$300 per fall & spring semesters,Brookhaven Music Scholarship for Freshmen  The Brookhaven Campus Freshmen Music Scholarship is available to...,Deadline04/30/2026
$250 per fall & spring semesters,Brookhaven Music Scholarship for Merit  The Brookhaven Campus Merit Music Scholarship is available to Brookhaven...,Deadline04/30/2026
$500 per fall & spring semesters,Brookhaven Presidential Endowed Scholarship  The Brookhaven Campus Presidential Endowed Scholarship was established...,Deadline04/30/2026
$200 per fall & spring semesters,Brookhaven Visual Communications Scholarship  The Brookhaven Campus Visual Communications Scholarship (formerly the...,Deadline04/30/2026
$150 per fall & spring semesters,Bruce Hogarth Memorial Endowed Scholarship  The Bruce Hogarth Memorial Endowed Scholarship was established in 1987...,Deadline04/30/2026
$300 per fall & spring semesters,Brumbach Memorial Endowed Scholarship  The Brumbach Memorial Endowed Scholarship was established in memory of...,Deadline04/30/2026
$250 per fall & spring semesters,Bryan Hogan Endowed Scholarship  The Bryan Hogan Endowed Scholarship was established in memory of Bryan...,Deadline04/30/2026
$500 per fall & spring semesters,Carole Rolnick Shlipak Endowed Scholarship  The Carole Rolnick Shlipak Endowed Scholarship was established in honor...,Deadline04/30/2026
$250 per fall & spring semesters,Carolyn Parker Pottery Scholarship  The Carolyn Parker Pottery Scholarship was established in 2011 by...,Deadline04/30/2026
$500 per fall & spring semesters,Carolyn Parker Scholarship  The Carolyn Parker Endowed Scholarship was established by Ms. Parker to...,Deadline04/30/2026
$500 per fall & spring semesters,Cedar Valley Honors Program Scholarship  The Cedar Valley Campus Honors Program Scholarship was established in...,Deadline04/30/2026
$560 Fall only,Cedar Valley Leadership Program Scholarship  The Cedar Valley Campus Leadership Program Scholarship was established...,Deadline04/30/2026
$500 per fall & spring semesters,Celia Riddle Millemon Exemplary Student Transfer Endowed Scholarship  The Celia Riddle Millemon Exemplary Student Transfer Endowed Scholarship...,Deadline04/30/2026
$500 per fall & spring semesters,Charles McAdams Memorial Endowed Scholarship  The Charles McAdams Memorial Endowed Scholarship was established in...,Deadline04/30/2026
$500 per fall & spring semesters,Chefs for Farmers/Randall Copeland Memorial Endowed Scholarship  The Chefs for Farmers/Randall Copeland Memorial Endowed Scholarship was...,Deadline04/30/2026
"Varies up to $2,535 per semester","Chesmar Teacher Scholarship  The Chesmar Teacher Scholarship, established by the Chesmar Foundation,...",Deadline04/30/2026
$200 per fall & spring semesters,Chuck Choate Memorial Endowed Scholarship  The Chuck Choate Memorial Endowed Scholarship was established in 1987 by...,Deadline04/30/2026
$200 per fall & spring semesters,Claire and Adolph Streng Memorial Endowed Scholarship  The Adolph Streng Memorial Endowed Scholarship was established in memory...,Deadline04/30/2026
$500 per fall & spring semesters,"CompuCredit ""Aspire a Mas"" Endowed Scholarship  The CompuCredit “Aspire a Mas” Endowed Scholarship was established in...",Deadline04/30/2026
$500 per fall & spring semesters,Computer Information Technology Scholarship  The Computer Information Technology Scholarship was established in 2019...,Deadline04/30/2026
"Varies up to $7,700 per academic year for up to two years",Computer Science as a Career (CSAC) Scholarship Program  Computer Science As Career (CSAC) Scholars Program was created to...,Deadline04/30/2026
$500 per fall & spring semesters,Council of Petroleum Accountants Societies (COPAS) Accounting Scholarship  The Council of Petroleum Accountants Societies (COPAS) places a strong...,Deadline04/30/2026
$500 per fall & spring semesters,Custom Home Builders Endowed Scholarship  The Custom Home Builders Endowed Scholarship was established in 1978 by...,Deadline04/30/2026
$600 per fall & spring semesters,Dallas Chocolate Festival Bakery/Pastry Scholarship  The Dallas Chocolate Festival Bakery/Pastry Scholarship was established...,Deadline04/30/2026
$250 scholarship is awarded each Fall and Spring semesters. Your general application will be considered each semester.,Dallas College Scholarship  The Dallas College Scholarship ELIGIBILITY REQUIREMENTS  GPA of...,Deadline04/30/2026
$250 per fall & spring semesters,Dallas County Sheriff's Association Endowed Scholarship  The Dallas County Sheriff’s Association Endowed Scholarship was...,Deadline04/30/2026
$612 fall only,Dallas Mortgage Bankers Association Scholarship  The Dallas Mortgage Bankers Association Scholarship was established by...,Deadline04/30/2026
$250 per fall & spring semesters,David McCoy Photography Endowed Scholarship  The David McCoy Photography Endowed Scholarship was established in 1995...,Deadline04/30/2026
$500 per fall & spring semesters,David Yoder Theater Scholarship  The David Yoder Theater Scholarship was established in 2014 in memory of...,Deadline04/30/2026
$250 per fall & spring semesters,DFW Area IAAP Award Scholarship  The DFW Area IAAP Award Scholarship was established in 2014 by the...,Deadline04/30/2026
$250 per fall & spring semesters,DFW Chapter of AIWF/Jim Severson Endowed Scholarship  The DFW Chapter of AIWF/Jim Severson Endowed Scholarship was established...,Deadline04/30/2026
