Due Date,Funeral Service or National Scholarship
February 1,The Marc Zboch Academic Scholarship
February 2,The International Order of the Golden Rule (OGR)
February 15,Professional Women’s Conference Scholarship
February 19,"The International Cemetery, Cremation and Funeral Association"
March 1,The American Board of Funeral Service Education
March 31,Richard Yu Scholarship
May 30,The Selected Independent Funeral Homes’ Educational Trust’s Second-Career Scholarship Program
June 27,"The 100 Black Women of Funeral Service, Inc."
June 30,The National Funeral Directors and Morticians Association
June 30,Mortician Scholarship
June 30,Women’s Auxiliary Scholarship
September 1,The American Board of Funeral Service Education
October 13,Service Corporation International
October 23,Newcomer Funeral Service Group Scholarship
December 1,The Selected Independent Funeral Homes’ Educational Trust’s Second-Career Scholarship Program
