0,1
Name of Scholarship,Preferred Qualifications
Ethel Russell Scholarship (Meet the criteria? Apply now! We are always looking for Russell applicants.),"$1,000 per semester Permian Basin resident Receiving no other financial aid Enrolled full time Maintaining a 2.5 cumulative GPA"
OC Academic Scholarship,$900 per semester Enrolled full time Maintaining a 3.0 cumulative GPA
Slaton-Basset Scholarship,"$700 per semester, up to 4 semesters Nursing major Enrolled full time Maintaining a 2.0 cumulative GPA."
CJ (Red) Davidson Scholarship,"$500 per semester, up to 4 semesters Enrolled full time West Texas resident Maintaining a 3.0 cumulative GPA"
Alvin H Parker Scholarship,$500 per semester Enrolled full time Maintaining 3.0 cumulative GPA.
Ellen & Bill Noel Scholarship for Retiree's Children,"Covers tuition, fees, books Children of confirmed Huntsman/Flint Hills retirees Maintaining a 2.0 GPA Maintaining 50% course completion"
Joanne Pickering-Douglass Scholarship,"Covers tuition, fees and required book costs Financial need on a FAFSA Single parent Enrolled at least half time Maintaining a 2.5 cumulative GPA."
Forfeited Property Deposit Scholarship,$300 per semester Financial need on a FAFSA Enrolled at least half time Maintaining a 2.5 cumulative GPA.
Odessa Board of Realtors Scholarship,$300 per semester Enrolled at least half time Maintain a 2.5 cumulative GPA.
Hext Family Scholarship,"Tuition, fees, books up to $900 per semester Career and Technical Education, Nursing, Allied Health major Financial need on a FAFSA Enrolled at least half time Maintaining a 2.5 cumulative GPA Pass drug test"
