Scholarship Name,Award Term,Award & Criteria,Department Responsible For Selection,Is An Application Needed?
4.0 Achievement Award,Fall,- Award amounts may vary per semester. - Must be currently enrolled with a 4.0 GPA. - Must have completed two consecutive terms (Fall/Spring). - Must have earned a minimum of 24 PBSC credits (not including prep courses).,Selection based on requirements once per academic year,No
Athletic Scholarship,Fall/Spring (Summer is at department's discretion),"- Amounts awarded per semester vary. - Enrollment Requirement: Min. 12 credits. - Must be accepted to participate in a PBSC Sport team: Women's Basketball, Men's  Basketball, Baseball, Softball or Volleyball. - Must maintain SAP Standards.",Recruited and selected by Athletic Department,No
Bachelor's Scholarship,Fall/Spring,- Awarded to students based on criteria determined by each degree area. - Enrollment Requirement: Min. 6 credits. - GPA Requirement: 3.5.,Bachelor's Department,No
District Board of Trustees Scholarship,Fall/Spring,- Award for the cost of 6 credit hours. - Enrollment Requirement: Min. 6 credits. - Must be elected as Student Trustee. - Must maintain SAP Standards.,Application and selection made by department,Yes
Dr. Barbara Carey-Shuler Emerging Scholars Scholarship,Fall/Spring/Summer,"- Award: $3,000 over six (6) semesters. - Enrollment Required: 12 credits Fall & Spring; 6 in summer. - Open to currently and First-Time-in-College (FTIC) students with a minimum 2.5 unweighted  GPA. - Renewal Cum. GPA: 3.0. - Must be planning to pursue an associate degree at PBSC. - Priority given to First Generation College (1stGen) students majoring in Education. - Must complete FAFSA.",Selection made by department,Yes
Drumline Scholarship,Fall/Spring,- Award amounts may vary. - GPA Requirement: 2.5. - Must maintain SAP Standards. - Must participate in PBSC's Drumline.,Selection made by department,No
First Step 2 Success Scholarship,Summer,"- In-state tuition, registration fees and books ($500 maximum). - Must be a First-Time-in-College (FTIC) student with a standard high school diploma. - Must be planning to pursue an AA degree at Palm Beach State College. - Must complete FAFSA and be eligible to receive the Pell Grant.",,Yes
GED Merit Scholarship,Fall/Spring,- Award for the cost of 3 credit hours. - Enrollment Requirement: Min. 3 credits. - 3 scholarships are awarded.,Selection made by department,No
Leadership Development Scholarship,Fall/Spring,- Award for the cost of 3 credit hours. - Enrollment Requirement: Min. 3 credits. - 3 scholarships are awarded.,Selection made by department,No
"Miley Miller Foundation, Inc. Leaders in Action Scholarship",Fall/Spring/Summer,"- Award: $1,500 over three (3) semesters. - Enrollment Requirement: 12 credits fall & spring; 6 in summer. - Must be currently enrolled 2nd-year student in good academic standing (min. 30 credits  and 2.5 GPA). - Must have renewable cumulative GPA: 3.0. - Must be available to serve as a Peer Advisor in the Summer Bridge Program. - Must complete FAFSA.",Selection made by department,Yes
Music Scholarship,Spring,- Award will cover tuition for music ensemble course. - Enrollment Requirement: Min. 12 credits. - Coursework GPA Requirement: 2.5. - Musical Coursework GPA Requirement: 3.0. - Must preform in student recital.,Selection made by department,No
"NextEra Foundation, Inc. Innovators in STEM Scholarship",Fall/Spring/Summer,"- Award: $3,000 over six (6) semesters - Enrollment Required: 12 credits fall & spring; 6 in summer - Open to currently and First-Time-in-College (FTIC) students with a minimum 2.5 unweighted  GPA. - Renewal Cum. GPA: 3.0 - Must be planning to pursue an associate degree at Palm Beach State College. - Priority given to First Generation College (1stGen) students majoring in Electrical  Power & Engineering Technology and other STEM related fields. - Must complete FAFSA.",Selection made by department,Yes
Principal's Choice Scholarship,Fall/Spring,"- A two-year award worth $4,000 per academic year ($2,000/semester). - Enrollment Requirement: Min. 12 credits - High school graduate with a minimum 3.5 unweighted GPA. - Renewal Cumulative GPA: 3.5 - Must have College ready test scores - Student must not have more than 30 credit hours of Dual Enroll, Early Admission  or AP credit hours - Able to renew if continue with PBSC Bachelor's program",Selection by Palm Beach County Principals,No
Student Government Scholarship,Fall/Spring,- Award amounts may vary. - Enrollment Requirement: Min. 6 credits - GPA Requirement: 2.0 - Must be a member of the Student Government - Must be an inducted Senator - Must participate in on Campus event,Selection based on SGA membership,No
