FIELD1,FIELD2,INFO
CAREER INSIGHT 2025 - TABLE HOSTS,,
1:00pm to 4:00pm in the Library,,
Blue designates Ringling Alumni at the Table,,
Company,Description/Title,"Name(s), Website"
22squared,"VP, Creative Director - JR began his career working out of the BBDO offices, in both San Francisco and Los Angeles, building campaigns for Visa, Pioneer Electronics, Mitsubishi, and California Lottery. His creative talents added to long-running campaigns like QSR Jack in the Box and Red Bull. His work has been recognized by D&AD, the London International Awards, the Emmys, and the Effies. At 22squared, he mentors junior creatives and serves on the Diversity and Inclusion Council.","Jason ""JR"" Roberts Jason Roberts Work, 22squared"
AAF Suncoast,President of AAF Suncoast,Selina Bostic AAF Suncoast
Arsenal Entertainment Group,"Over 25 years of experience in the creative and entertainment industry. A graphic designer and entrepreneur with expertise in corporate branding, digital design, and print media. Former Senior Designer with the CIA, working with clients like U.S. Space Force, Walt Disney World, and Universal Studios Orlando.",Tim Oliver Arsenal Entertainment Group
BUCK,"Senior Designer, Children’s book illustrator, Editorial illustrator",Jamiel Law BUCK
Centripetale Product Design,Principal,Miguel E. Elasmar Centripetale Product Design
Cirkul,Design Manager,Barry Klipp Cirkul
Creative Education Foundation,"Fun Maker, Conference Coordinator, and Logistics, Creative, Cinephile",Roseanne Avella Creative Education Foundation
Creative Expressions,On file,Leia Madden
Epic Games,Academic Advisor,Luis Cataldi Epic Games
EPSILON RETAIL MEDIA,"VP, Creative",Brian Anthony Epsilon
Feld Entertainment,"Director, Client Services - Creative Services",Sarah Tildsley Feld Entertainment
Friend + Johnson,Artist Representative,Simone Friend Friend + Johnson
Greater Sarasota Chamber of Commerce,Opportunities For All Manager,Melanie Lavender Greater Sarasota Chamber of Commerce
KeeKee's Big Adventures,"Co-founder and co-creator of KeeKee’s Big Adventures, a kids and family travel entertainment brand with books, podcasts, and videos aimed at sparking curiosity and adventure.",Shannon Jones KeeKee's Big Adventures
