Scholarship Name,Application,Amount,Status
Cambria Changing Lives,STC,$250,Open
Charles Robinson History Major Scholarship,STC,$800,Open
Cinch Scholarship,STC,$625,Open
David L. Lopez Memorial Scholarship for Culinary Arts and Architectural Design,STC,Varies,Open
Diesel - Harlingen Cotton,STC,Diesel tool kit,Open
Dr. Garza Early Childhood Child Development Scholarship,Third-Party,$500,Open
Experience Exceptional Scholarship,STC,Varies,Open
Gene Haas Scholarship,STC,Varies,Open
Horatio Alger Association,Third-Party,Varies,Open
JagReconnect Scholarship,STC,Varies,Open
Kent M. Biel Automotive Technology Memorial Scholarship,STC,$500,Open
Knowledge Quest,Third-Party,500,Open
Maudie Mary Finney Memorial Scholarship,STC,Varies,Open
South Texas Manufacturers Association Scholarship,STC,$500 Fall & $500 Spring,Open
STARS Scholarship,Third-Party,Varies,Open
