Scholarship,Amount,Eligibility,Maintenance
Oklahoma Rising Scholars Award  Automatic Qualifiers,"$50,760  4 yrs x ($6,630 tuition + $1,650 fees + $4,410 housing)","Named a Presidential Scholar by the U.S. Department of Education, named a National  Merit Scholar or National Merit Finalist, or 99th percentile on ACT.  Apply through Oklahoma State Regents for Higher Education website.","3.25 retention GPA, full-time enrollment each fall and spring, complete minimum 24  credit hours each academic year. Housing scholarship portion not available to OK Rising  Scholars transfers from other institutions."
Oklahoma Rising Scholars Award Institutional Nominees  (USAO is allowed 7 Nominees),"$50,760 4 yrs x ($6,630 tuition + $1,650 fees + $4,410 housing)","Oklahoma Resident, 30+ ACT or SAT/CLT equivalent, OR 3.8 GPA and either top 4% or rank of #1 or #2, OR 3.8 GPA and 28 ACT.","3.25 retention GPA, full-time enrollment each fall and spring, complete minimum 24  credit hours each academic year. Housing scholarship portion not available to OK Rising  Scholars transfers from other institutions."
Regent's Baccalaureate Scholarship,"$50,760  4 yrs x ($6,630 tuition + $1,650 fees + $4,410 housing)",30+ ACT and minimum 3.5+ GPA on 4.0 scale.,"3.25 retention GPA, full-time enrollment each fall and spring, complete minimum 24  credit hours each academic year."
"Te Ata Scholarship  * Scholarship named in honor of Mary Thompson Fisher (Te Ata), Class of 1919","$22,000  4 yrs x ($4,000 tuition + $1,500 housing)",3.25 GPA and 26+ ACT,"2.70 retention GPA, full-time enrollment each fall and spring, terms of eligibility  must be consecutive."
Academic Distinction Scholarship**,"$16,000  4 yrs x ($3,000 tuition + $1,000 housing)",4.0 GPA or 25+ ACT and 3.0 GPA,"2.70 retention GPA, full-time enrollment each fall and spring, terms of eligibility  must be consecutive."
University Scholarship**,"$8,000  4 yrs x ($1,500 tuition + $500 housing)",3.75 GPA or 23-24 ACT and 3.0 GPA,"2.70 retention GPA, full-time enrollment each fall and spring, terms of eligibility  must be consecutive."
Green & Gold Scholarship**,"$6,000  4 yrs x ($1,000 tuition + $500 housing)",3.5 GPA or 21-22 ACT and 3.0 GPA,"2.70 retention GPA, full-time enrollment each fall and spring, terms of eligibility  must be consecutive."
"FastTRACK Scholarship: $9,282","$9,282  3 yrs x $3,094 tuition per summer term (up to 14 hrs)",(Must complete 12 hrs per semester AND enroll in 12+ hrs during Independent Study and/or summer terms),
Drover Difference Scholarship,"$10,600  4 yrs x ($1,650 fees + $1,000 housing)",Must be eligible to receive Oklahoma's Promise each year.,"2.70 retention GPA, full-time enrollment each fall and spring, terms of eligibility  must be consecutive."
Oklahoma Educator Award Scholarship,"$10,000  4 yrs x ($2,000 tuition + $500 housing)",Must be a dependent of an Oklahoma public school teacher.,"2.70 retention GPA, full-time enrollment each fall and spring, terms of eligibility  must be consecutive. Yearly documentation of parents' educator status required."
Novikow Music Scholarship,In-state tuition waiver up to 18 credit hours each fall and spring,"Must be declared music major and audition for the scholarship, 3.0 GPA on a 4.0 scale,  and minimum 20 ACT or SAT equivalent.","3.00 retention GPA, continuous enrollment in recital and a major ensemble, enroll  in 15+ credit hours each fall and spring."
The Joseph and Marjorie Dougherty Scholarship***,"$4,000/year",Non-education related recipients: 28+ ACT or SAT equivalent and 3.5 GPA on a 4.0 scale  Education-related recipients: Preference given to 3.5+ GPA on a 4.0 scale and exceptional  ACT/SAT score.,"2.75 retention GPA, full-time enrollment each fall and spring, terms of eligibility  must be consecutive."
