Bullet,name,award,deadline,Link,Unnamed: 5
,Hon. Giles S. Rich Diversity Scholarship New York Intellectual Property Law Association,"$10,000","April 03, 2026",See Details,
"Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details",
,Hon. Giles S. Rich Diversity Scholarship New York Intellectual Property Law Association,Hon. Giles S. Rich Diversity Scholarship New York Intellectual Property Law Association,Hon. Giles S. Rich Diversity Scholarship New York Intellectual Property Law Association,Hon. Giles S. Rich Diversity Scholarship New York Intellectual Property Law Association,Hon. Giles S. Rich Diversity Scholarship New York Intellectual Property Law Association
,"award $10,000","award $10,000","deadline April 03, 2026","deadline April 03, 2026","deadline April 03, 2026"
,See Details,See Details,See Details,See Details,See Details
"Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The Hon. Giles S. Rich Diversity Scholarship is available to minority students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details"
,NYIPLEF Scholarship New York Intellectual Property Law Association,"$10,000","April 03, 2026",See Details,
"Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details",
,NYIPLEF Scholarship New York Intellectual Property Law Association,NYIPLEF Scholarship New York Intellectual Property Law Association,NYIPLEF Scholarship New York Intellectual Property Law Association,NYIPLEF Scholarship New York Intellectual Property Law Association,NYIPLEF Scholarship New York Intellectual Property Law Association
,"award $10,000","award $10,000","deadline April 03, 2026","deadline April 03, 2026","deadline April 03, 2026"
,See Details,See Details,See Details,See Details,See Details
"Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details","Description The NYIPLEF Scholarship is available to 2L and 3L students attending a law school in the New York area, including Connecticut and New Jersey. You must demonstrate interest in pursuing a career in intellectual property law to be eligible for this award. View Scholarship Details"
,"SAAAI Annual Scholarship South Asian American Association, Inc.","$6,000",Varies,See Details,
