school_name,status,url_found,tables_saved,reason
Lone Star College System,Partial Success,https://www.lonestar.edu/scholarships.htm,0,"URL scraped, but no suitable tables found."
Brigham Young University-Idaho,Failure,https://www.byui.edu/financial-aid/merit-scholarship,0,Could not scrape any tables from the URL.
Dallas College,Success,https://dallascollege.academicworks.com/,1,Saved 1 valid tables.
Valencia College,Failure,https://valenciacollege.edu/finaid/programs/scholarships/index.php,0,Could not scrape any tables from the URL.
Miami Dade College,Failure,https://www.mdc.edu/financialaid/scholarships/,0,Could not scrape any tables from the URL.
College of Southern Nevada,Failure,https://www.csn.edu/scholarships,0,Could not scrape any tables from the URL.
Austin Community College District,Failure,https://students.austincc.edu/scholarships/,0,Could not scrape any tables from the URL.
Collin County Community College District,Failure,https://www.collin.edu/foundation/students/index.html,0,Could not scrape any tables from the URL.
Broward College,Partial Success,https://www.broward.edu/admissions/financial-aid/scholarships/,0,"URL scraped, but no suitable tables found."
San Jacinto Community College,Failure,https://www.sanjac.edu/admissions/paying-for-college/grants-scholarships/scholarships/index.php,0,Could not scrape any tables from the URL.
Santa Ana College,Failure,http://sac.edu/StudentServices/Counseling/TeacherEd/Pages/Financial-Aid-Scholarships.aspx,0,Could not scrape any tables from the URL.
Santa Monica College,Failure,https://www.smc.edu/admission-aid/financial-aid-scholarships/types-of-aid/scholarships/,0,Could not scrape any tables from the URL.
Palm Beach State College,Success,https://www.pbsc.edu/financial-aid/scholarships.php,1,Saved 1 valid tables.
St Petersburg College,Failure,https://www.spcollege.edu/financial-aid/types-of-financial-aid/scholarships,0,Could not scrape any tables from the URL.
Florida State College at Jacksonville,Failure,https://www.fscj.edu/financial-aid/scholarships,0,Could not scrape any tables from the URL.
Bakersfield College,Failure,https://www.bakersfieldcollege.edu/enrollment-aid/scholarships/index.html,0,Could not scrape any tables from the URL.
South Texas College,Success,https://studentservices.southtexascollege.edu/finaid/scholarships/,1,Saved 1 valid tables.
San Antonio College,Success,https://www.alamo.edu/foundation/scholarships/,1,Saved 1 valid tables.
San Diego Mesa College,Success,https://www.sdmesa.edu/scholarships/,2,Saved 2 valid tables.
Rio Hondo College,Success,https://www.riohondo.edu/financial-aid/types/scholarships/,1,Saved 1 valid tables.
Modesto Junior College,Failure,https://www.mjc.edu/foundation/scholarships.html,0,Could not scrape any tables from the URL.
CUNY New York City College of Technology,Success,https://www.citytech.cuny.edu/scholarships/scholarships.aspx,1,Saved 1 valid tables.
Sinclair Community College,Failure,https://www.sinclair.edu/services/welcome/finaid/financial-aid-types-and-sources/scholarships-application-information/,0,Could not scrape any tables from the URL.
