Enrollment,School Name,City,State,ID
47486,Lone Star College System,The Woodlands,TX,227182
42090,Brigham Young University-Idaho,Rexburg,ID,142522
41815,Dallas College,Dallas,TX,224615
35125,Valencia College,Orlando,FL,138187
35001,Miami Dade College,Miami,FL,135717
27790,College of Southern Nevada,Las Vegas,NV,182005
25969,Austin Community College District,Austin,TX,222992
25857,Collin County Community College District,McKinney,TX,247834
23799,Broward College,Fort Lauderdale,FL,132709
23071,San Jacinto Community College,Pasadena,TX,227979
